,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,45159.228,1394.462,42572.616,47746.653,35.896,20.168,1509.0,2367.0,1.0
month mu_raw[0],6371.572,1243.87,3978.908,8693.379,19.587,19.893,4029.0,2855.0,1.0
month mu_raw[1],-1178.888,1281.191,-3590.931,1211.29,20.68,19.665,3844.0,3056.0,1.0
month mu_raw[2],633.427,1268.557,-1682.58,3083.603,18.39,21.057,4727.0,2690.0,1.0
month mu_raw[3],-409.048,1158.043,-2536.009,1812.514,14.671,20.399,6286.0,2690.0,1.0
month mu_raw[4],-1366.275,1246.916,-3796.073,883.635,18.241,19.654,4657.0,2914.0,1.0
month mu_raw[5],-1382.071,1369.364,-3913.997,1223.692,25.402,20.232,2916.0,2682.0,1.0
month mu_raw[6],-502.392,1477.662,-3335.13,2270.066,29.76,23.524,2459.0,2674.0,1.0
month mu_raw[7],-2839.677,1394.78,-5364.092,-180.13,26.644,20.248,2742.0,3036.0,1.0
month mu_raw[8],-2633.448,1374.912,-5101.348,10.263,24.773,20.021,3084.0,3086.0,1.0
month mu_raw[9],-407.612,1225.595,-2741.006,1962.524,17.496,23.335,4915.0,2371.0,1.0
month mu_raw[10],-1754.763,1213.072,-3884.782,676.281,16.904,20.693,5127.0,2996.0,1.0
temp coeff,-392.793,139.761,-651.523,-133.055,3.639,1.995,1476.0,2208.0,1.0
linear trend,13.058,11.046,0.008,33.58,0.158,0.201,3889.0,2436.0,1.0
sigma,2580.247,312.081,2017.778,3153.237,5.458,5.294,3317.0,2824.0,1.0
month mu[January],6725.241,1261.116,4521.024,9288.196,22.299,18.892,3191.0,2905.0,1.0
month mu[February],-825.219,1296.13,-3149.246,1782.92,23.597,20.041,3000.0,3034.0,1.0
month mu[March],987.096,1262.477,-1222.28,3577.473,21.005,19.645,3610.0,2731.0,1.0
month mu[April],-55.379,1120.201,-2243.706,1965.009,14.512,19.612,5999.0,2732.0,1.0
month mu[May],-1012.606,1160.946,-3260.562,1046.545,15.366,18.894,5678.0,2902.0,1.0
month mu[June],-1028.402,1261.516,-3346.251,1354.687,21.65,20.12,3407.0,2764.0,1.0
month mu[July],-148.723,1348.048,-2945.7,2175.701,25.623,21.88,2770.0,2520.0,1.0
month mu[August],-2486.008,1276.187,-4740.644,54.633,22.612,19.056,3174.0,3034.0,1.0
month mu[September],-2279.779,1268.144,-4673.09,92.289,21.158,20.013,3593.0,3114.0,1.0
month mu[October],-53.943,1148.372,-2173.201,2226.594,15.15,22.435,5760.0,2362.0,1.0
month mu[November],-1401.094,1189.509,-3670.607,778.946,17.974,19.98,4396.0,2930.0,1.0
month mu[December],1578.815,1309.875,-789.686,4164.985,23.894,18.555,3006.0,3060.0,1.0
